frame,time_seconds,player_id,confidence,x1,y1,x2,y2,ground_x,ground_y,inside_forward50,zone
0,0.0,1,0.789,1379.29,700.81,1421.99,800.84,1400.64,800.84,True,central_corridor
0,0.0,2,0.7385,1479.92,848.74,1535.87,985.57,1507.89,985.57,False,outside
0,0.0,3,0.7338,1178.73,718.31,1226.86,813.36,1202.8,813.36,True,central_corridor
0,0.0,4,0.6747,99.81,569.47,127.15,636.75,113.48,636.75,True,left_pocket
0,0.0,5,0.6338,1443.75,716.57,1482.45,817.19,1463.1,817.19,True,central_corridor
0,0.0,6,0.5624,1016.44,530.23,1038.46,598.39,1027.45,598.39,True,left_half_forward
0,0.0,7,0.5608,939.81,552.71,960.35,610.77,950.08,610.77,True,left_half_forward
0,0.0,8,0.4196,1231.35,707.97,1278.29,812.61,1254.82,812.61,True,central_corridor
0,0.0,9,0.3951,220.59,499.5,243.0,552.28,231.79,552.28,False,outside
0,0.0,10,0.3825,1358.6,592.59,1394.2,677.6,1376.4,677.6,True,central_corridor
0,0.0,11,0.357,129.05,517.15,148.35,564.06,138.7,564.06,False,outside
1,0.02,1,0.8224,1380.18,701.21,1421.06,800.2,1400.62,800.2,True,central_corridor
1,0.02,2,0.7308,1480.67,847.64,1534.68,985.56,1507.68,985.56,False,outside
1,0.02,3,0.7173,1177.42,718.71,1224.18,805.55,1200.8,805.55,True,central_corridor
1,0.02,4,0.7136,99.83,569.75,127.32,635.92,113.58,635.92,True,left_pocket
1,0.02,5,0.6333,1442.48,716.24,1480.27,816.42,1461.38,816.42,True,central_corridor
1,0.02,6,0.4147,1016.94,532.49,1043.71,598.91,1030.33,598.91,True,left_half_forward
1,0.02,7,0.6536,940.97,553.1,963.59,615.62,952.28,615.62,True,left_half_forward
1,0.02,8,0.3892,1226.98,707.43,1272.94,808.01,1249.96,808.01,True,central_corridor
1,0.02,9,0.4007,220.44,498.48,244.23,552.91,232.33,552.91,False,outside
1,0.02,10,0.5179,1349.57,592.08,1394.52,681.23,1372.04,681.23,True,central_corridor
2,0.04,1,0.8244,1380.26,701.2,1420.68,800.44,1400.47,800.44,True,central_corridor
2,0.04,2,0.7309,1480.83,847.44,1534.59,985.58,1507.71,985.58,False,outside
2,0.04,3,0.7126,1177.2,718.83,1223.04,804.4,1200.12,804.4,True,central_corridor
2,0.04,4,0.7081,99.89,569.77,127.51,635.9,113.7,635.9,True,left_pocket
2,0.04,5,0.6246,1442.26,716.37,1480.05,816.21,1461.16,816.21,True,central_corridor
2,0.04,6,0.4107,1017.01,532.86,1044.86,599.45,1030.94,599.45,True,left_half_forward
2,0.04,7,0.6646,940.98,553.24,964.36,616.85,952.67,616.85,True,left_half_forward
2,0.04,8,0.3985,1225.86,707.36,1273.71,807.65,1249.78,807.65,True,central_corridor
2,0.04,9,0.4006,220.5,499.24,244.4,553.07,232.45,553.07,False,outside
2,0.04,10,0.5217,1348.01,591.98,1394.51,681.79,1371.26,681.79,True,central_corridor
3,0.06,1,0.8097,1381.17,702.68,1420.12,800.18,1400.65,800.18,True,central_corridor
3,0.06,2,0.7295,1480.74,847.62,1533.88,985.57,1507.31,985.57,False,outside
3,0.06,3,0.626,1175.25,718.27,1219.66,806.14,1197.46,806.14,True,central_corridor
3,0.06,4,0.7296,99.83,569.55,127.58,635.91,113.71,635.91,True,left_pocket
3,0.06,5,0.5801,1440.55,716.5,1479.67,816.91,1460.11,816.91,True,central_corridor
3,0.06,6,0.4381,1017.01,534.22,1047.42,598.02,1032.22,598.02,True,left_half_forward
3,0.06,7,0.6991,941.96,554.09,967.9,616.66,954.93,616.66,True,left_half_forward
3,0.06,8,0.3509,1218.85,707.56,1268.95,814.7,1243.9,814.7,True,central_corridor
3,0.06,9,0.3892,220.6,500.24,243.58,552.57,232.09,552.57,False,outside
3,0.06,10,0.5164,1350.54,591.84,1393.7,680.57,1372.12,680.57,True,central_corridor
3,0.06,11,0.3501,129.55,519.23,150.47,564.71,140.01,564.71,False,outside
4,0.08,1,0.8018,1381.62,703.2,1419.85,800.31,1400.74,800.31,True,central_corridor
4,0.08,2,0.7311,1480.82,847.63,1533.79,985.29,1507.3,985.29,False,outside
4,0.08,3,0.6325,1174.64,718.03,1218.47,806.8,1196.55,806.8,True,central_corridor
4,0.08,4,0.7225,99.8,569.57,127.65,635.83,113.73,635.83,True,left_pocket
4,0.08,5,0.5817,1439.06,717.41,1477.49,817.52,1458.27,817.52,True,central_corridor
4,0.08,6,0.4317,1016.98,534.48,1048.26,597.62,1032.62,597.62,True,left_half_forward
4,0.08,7,0.6949,942.3,554.32,969.01,616.41,955.66,616.41,True,left_half_forward
4,0.08,8,0.3997,1218.67,705.58,1266.79,809.09,1242.73,809.09,True,central_corridor
4,0.08,9,0.3867,220.61,500.68,243.19,552.05,231.9,552.05,False,outside
4,0.08,10,0.5115,1351.83,592.01,1393.39,680.05,1372.61,680.05,True,central_corridor
5,0.1,1,0.7987,1383.19,702.69,1418.8,802.38,1400.99,802.38,True,central_corridor
5,0.1,2,0.7284,1480.87,847.64,1534.09,985.18,1507.48,985.18,False,outside
5,0.1,3,0.5772,1172.66,717.51,1218.26,808.76,1195.46,808.76,True,central_corridor
5,0.1,4,0.7066,99.95,569.07,126.61,636.45,113.28,636.45,True,left_pocket
5,0.1,5,0.6062,1436.74,717.76,1475.28,820.06,1456.01,820.06,True,central_corridor
5,0.1,6,0.4077,1019.95,535.71,1048.49,596.87,1034.22,596.87,True,left_half_forward
5,0.1,7,0.6348,943.4,553.43,970.72,617.19,957.06,617.19,True,left_half_forward
5,0.1,8,0.4365,1216.05,706.76,1278.91,806.98,1247.48,806.98,True,central_corridor
5,0.1,9,0.3693,220.56,501.49,242.57,551.21,231.56,551.21,False,outside
5,0.1,10,0.5189,1349.68,590.9,1393.98,680.2,1371.83,680.2,True,central_corridor
6,0.12,1,0.7976,1383.73,702.11,1418.42,803.16,1401.08,803.16,True,central_corridor
6,0.12,2,0.7253,1481.06,847.7,1534.16,985.14,1507.61,985.14,False,outside
6,0.12,3,0.5865,1171.92,717.07,1218.46,808.35,1195.19,808.35,True,central_corridor
6,0.12,4,0.7019,100.01,568.88,126.39,636.24,113.2,636.24,True,left_pocket
6,0.12,5,0.6095,1435.96,717.87,1474.43,821.18,1455.19,821.18,True,central_corridor
6,0.12,6,0.419,1020.67,536.03,1048.45,596.92,1034.56,596.92,True,left_half_forward
6,0.12,7,0.6364,943.81,553.09,971.33,617.09,957.57,617.09,True,left_half_forward
6,0.12,8,0.4414,1215.64,707.3,1281.0,805.57,1248.32,805.57,True,central_corridor
6,0.12,9,0.3798,220.46,501.71,242.52,551.06,231.49,551.06,False,outside
6,0.12,10,0.5268,1348.75,590.5,1394.11,680.54,1371.43,680.54,True,central_corridor
7,0.14,1,0.7385,1383.51,703.1,1418.4,805.52,1400.96,805.52,True,central_corridor
7,0.14,2,0.7243,1481.22,847.75,1533.89,985.0,1507.55,985.0,False,outside
7,0.14,3,0.5436,1168.92,715.27,1216.88,809.27,1192.9,809.27,True,central_corridor
7,0.14,4,0.7104,100.21,568.84,126.09,636.43,113.15,636.43,True,left_pocket
7,0.14,5,0.6922,1434.65,718.28,1472.96,821.52,1453.81,821.52,True,central_corridor
7,0.14,6,0.3734,1022.99,537.23,1049.2,596.68,1036.09,596.68,True,left_half_forward
7,0.14,7,0.5032,944.09,554.0,971.72,617.3,957.9,617.3,True,left_half_forward
7,0.14,8,0.4156,1207.82,706.66,1283.31,803.46,1245.56,803.46,True,central_corridor
7,0.14,9,0.3971,220.28,501.5,241.65,551.21,230.96,551.21,False,outside
7,0.14,10,0.5516,1355.01,589.76,1394.18,680.43,1374.6,680.43,True,central_corridor
8,0.16,1,0.739,1383.41,703.68,1418.64,806.7,1401.02,806.7,True,central_corridor
8,0.16,2,0.7203,1481.41,847.77,1533.87,984.98,1507.64,984.98,False,outside
8,0.16,3,0.5299,1167.92,714.29,1215.96,810.45,1191.94,810.45,True,central_corridor
8,0.16,4,0.7127,100.3,568.75,125.99,636.39,113.15,636.39,True,left_pocket
8,0.16,5,0.6812,1434.23,719.56,1472.04,821.82,1453.14,821.82,True,central_corridor
8,0.16,6,0.3761,1023.72,537.53,1049.51,596.6,1036.62,596.6,True,left_half_forward
8,0.16,7,0.5022,944.21,554.35,971.91,617.53,958.06,617.53,True,left_half_forward
8,0.16,8,0.3972,1204.73,706.19,1284.52,803.02,1244.62,803.02,True,central_corridor
8,0.16,9,0.3816,220.47,500.97,241.59,551.19,231.03,551.19,False,outside
8,0.16,10,0.556,1356.41,589.71,1394.89,680.38,1375.65,680.38,True,central_corridor
8,0.16,13,0.357,492.37,495.96,514.25,546.74,503.31,546.74,True,left_pocket
9,0.18,1,0.7642,1383.13,705.62,1418.51,808.25,1400.82,808.25,True,central_corridor
9,0.18,2,0.7318,1481.3,848.1,1535.07,984.98,1508.19,984.98,False,outside
9,0.18,3,0.366,1168.09,712.95,1212.11,809.4,1190.1,809.4,True,central_corridor
9,0.18,4,0.6794,100.18,570.2,125.49,635.45,112.83,635.45,True,left_pocket
9,0.18,5,0.6361,1431.81,720.34,1469.12,820.87,1450.46,820.87,True,central_corridor
9,0.18,6,0.4373,1023.84,535.84,1051.94,598.03,1037.89,598.03,True,left_half_forward
9,0.18,7,0.3984,944.17,555.37,974.18,618.06,959.18,618.06,True,left_half_forward
9,0.18,8,0.3804,1203.18,706.72,1274.31,791.87,1238.74,791.87,True,central_corridor
9,0.18,9,0.391,220.68,500.94,241.42,551.14,231.05,551.14,False,outside
9,0.18,10,0.5165,1362.13,589.25,1395.49,679.96,1378.81,679.96,True,central_corridor
9,0.18,13,0.3693,491.79,496.81,512.89,547.16,502.34,547.16,True,left_pocket
10,0.2,1,0.7669,1382.96,705.93,1418.49,808.95,1400.72,808.95,True,central_corridor
10,0.2,2,0.7312,1481.33,848.03,1535.91,985.04,1508.62,985.04,False,outside
10,0.2,3,0.3658,1168.31,712.36,1210.77,810.36,1189.54,810.36,True,central_corridor
10,0.2,4,0.6737,100.17,571.0,125.2,634.83,112.69,634.83,True,left_pocket
10,0.2,5,0.642,1430.96,720.6,1468.03,820.2,1449.49,820.2,True,central_corridor
10,0.2,6,0.4458,1023.86,535.47,1052.92,598.54,1038.39,598.54,True,left_half_forward
10,0.2,7,0.3903,944.24,555.71,974.89,618.2,959.56,618.2,True,left_half_forward
10,0.2,8,0.3838,1202.78,706.97,1269.85,787.66,1236.31,787.66,True,central_corridor
10,0.2,9,0.3937,220.72,500.91,241.54,550.87,231.13,550.87,False,outside
10,0.2,10,0.5115,1364.18,588.99,1395.43,679.64,1379.81,679.64,True,central_corridor
10,0.2,13,0.3752,491.56,496.96,512.54,547.34,502.05,547.34,True,left_pocket
11,0.22,1,0.7306,1382.73,706.15,1420.36,810.4,1401.54,810.4,True,central_corridor
11,0.22,2,0.7185,1481.26,848.34,1534.78,984.59,1508.02,984.59,False,outside
11,0.22,4,0.6435,100.31,572.08,126.43,637.16,113.37,637.16,True,left_pocket
11,0.22,5,0.5888,1428.24,720.15,1466.81,819.23,1447.52,819.23,True,central_corridor
11,0.22,6,0.4537,1026.32,534.52,1054.35,597.89,1040.34,597.89,True,left_half_forward
