frame,time_seconds,left_pocket,left_half_forward,central_corridor,right_half_forward,right_pocket,total_inside_forward50
0,0.0,1,2,5,0,0,8
1,0.02,1,2,5,0,0,8
2,0.04,1,2,5,0,0,8
3,0.06,1,2,5,0,0,8
4,0.08,1,2,5,0,0,8
5,0.1,1,2,5,0,0,8
6,0.12,1,2,5,0,0,8
7,0.14,1,2,5,0,0,8
8,0.16,2,2,5,0,0,9
9,0.18,2,2,5,0,0,9
10,0.2,2,2,5,0,0,9
11,0.22,2,2,3,0,0,7
12,0.24,2,2,3,0,0,7
13,0.26,2,2,2,0,0,6
14,0.28,2,2,3,0,0,7
15,0.3,2,2,3,0,0,7
16,0.32,2,2,3,0,0,7
17,0.34,2,2,3,0,0,7
18,0.36,2,2,3,0,0,7
19,0.38,2,2,3,0,0,7
20,0.4,1,2,3,0,0,6
21,0.42,2,2,3,0,0,7
22,0.44,3,2,3,0,0,8
23,0.46,2,1,4,0,0,7
24,0.48,2,1,4,0,0,7
25,0.5,2,1,4,0,0,7
26,0.52,2,1,2,0,0,5
27,0.54,2,2,3,0,0,7
28,0.56,2,2,4,0,0,8
29,0.58,2,2,4,0,0,8
30,0.6,2,2,5,0,0,9
31,0.62,2,1,4,0,0,7
32,0.64,2,2,4,0,0,8
33,0.66,2,3,4,0,0,9
34,0.68,2,3,4,0,0,9
35,0.7,2,2,4,0,0,8
36,0.72,2,2,4,0,0,8
37,0.74,2,2,4,0,0,8
38,0.76,2,3,4,0,0,9
39,0.78,2,3,4,0,0,9
40,0.8,2,3,5,0,0,10
41,0.82,2,3,4,0,0,9
42,0.84,2,3,4,0,0,9
43,0.86,2,3,4,0,0,9
44,0.88,2,3,4,0,0,9
45,0.9,2,3,4,0,0,9
46,0.92,2,3,4,0,0,9
47,0.94,2,3,4,0,0,9
48,0.96,2,3,4,0,0,9
49,0.98,2,3,4,0,0,9
50,1.0,2,3,4,0,0,9
51,1.02,2,3,4,0,0,9
52,1.04,2,3,4,0,0,9
53,1.06,2,3,4,0,0,9
54,1.08,2,2,4,0,0,8
55,1.1,3,2,4,0,0,9
56,1.12,2,2,4,0,0,8
57,1.14,2,2,4,0,0,8
58,1.16,2,2,5,0,0,9
59,1.18,2,3,5,0,0,10
60,1.2,2,3,6,0,0,11
61,1.22,2,3,5,0,0,10
62,1.24,2,4,5,0,0,11
63,1.26,3,4,4,0,0,11
64,1.28,3,4,5,0,0,12
65,1.3,3,4,5,0,0,12
66,1.32,3,3,5,0,0,11
67,1.34,3,3,5,0,0,11
68,1.36,2,4,4,0,0,10
69,1.38,3,4,5,0,0,12
70,1.4,2,4,5,0,0,11
71,1.42,2,4,5,0,0,11
72,1.44,2,4,5,0,0,11
73,1.46,2,4,5,0,0,11
74,1.48,2,4,5,0,0,11
75,1.5,3,4,5,0,0,12
76,1.52,3,4,5,0,0,12
77,1.54,3,4,5,0,0,12
78,1.56,3,4,5,0,0,12
79,1.58,3,4,5,0,0,12
80,1.6,3,4,5,0,0,12
81,1.62,3,4,5,0,0,12
82,1.64,3,4,5,0,0,12
83,1.66,3,4,5,0,0,12
84,1.68,3,4,5,0,0,12
85,1.7,3,4,5,0,0,12
86,1.72,3,4,5,0,0,12
